playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,class
fostebi99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
fosteed02,1910,1923,1490,6,451,NULL,NULL,NULL,NULL,NULL,0
fostege01,1969,1986,1925,348,1239,NULL,NULL,NULL,NULL,9,0
foxne01,1947,1965,2663,35,790,NULL,NULL,NULL,NULL,9,1
foxxji01,1925,1945,2646,534,1922,2,13,14,11,22,1
francjo01,1984,2005,3,0,1,0,1166,495,975,6,0
francju02,2009,2014,235,48,152,NULL,NULL,NULL,NULL,NULL,0
frasech01,1896,1909,235,3,96,389,3460,1332,1098,NULL,0
freehbi01,1961,1976,1591,200,758,NULL,NULL,NULL,NULL,9,0
fregoji01,1961,1978,1726,151,706,NULL,NULL,NULL,NULL,3,0
friscfr01,1919,1937,2880,105,1244,NULL,NULL,NULL,NULL,15,1
frymatr01,1990,2002,1776,223,1022,NULL,NULL,NULL,NULL,5,0
frymawo01,1966,1983,84,2,25,322,2367,890,1587,NULL,0
furilca01,1946,1960,1910,192,1058,NULL,NULL,NULL,NULL,3,0
gaettga01,1981,2000,2280,360,1341,0,5,1,1,6,0
gagliph01,1963,1974,336,14,159,NULL,NULL,NULL,NULL,NULL,0
gagneer01,1999,2008,12,1,3,48,518,226,718,6,0
galanau01,1934,1949,1706,100,830,NULL,NULL,NULL,NULL,NULL,0
galaran01,1985,2004,2333,399,1425,NULL,NULL,NULL,NULL,4,0
galvipu01,1875,1892,552,5,220,689,6405,745,1806,NULL,1
gamblos01,1969,1985,1195,200,666,NULL,NULL,NULL,NULL,NULL,0
gantro01,1987,2003,1651,321,1008,NULL,NULL,NULL,NULL,2,0
garcino01,1996,2009,1747,229,936,NULL,NULL,NULL,NULL,5,0
garneph01,1973,1988,1594,109,738,NULL,NULL,NULL,NULL,NULL,0
garvene01,1948,1961,180,7,72,330,2471,881,881,NULL,0
garvest01,1969,1987,2599,272,1308,NULL,NULL,NULL,NULL,15,0
gehrich01,1924,1942,2839,184,1427,NULL,NULL,NULL,NULL,24,1
gehrilo01,1923,1939,2721,493,1995,NULL,NULL,NULL,NULL,25,1
gelbech01,1929,1940,766,17,350,0,5,3,1,NULL,0
geronce01,1969,1983,977,51,392,NULL,NULL,NULL,NULL,4,0
gibsobo01,1959,1975,274,24,144,482,3279,1336,3117,19,1
gibsojo99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
gibsoki01,1979,1995,1553,255,870,NULL,NULL,NULL,NULL,3,0
gilesbr02,1995,2009,1897,287,1078,NULL,NULL,NULL,NULL,NULL,0
